81	96	0	0	12
95	110	0	0	3
84	93	0	0	4
101	95	0	0	6
104	103	0	0	5
78	91	0	0	0
90	102	0	0	0
100	104	0	0	0
97	85	0	0	0
91	96	0	0	0
103	110	0	0	0
101	92	0	0	0
92	95	0	0	0
89	93	0	0	0
100	97	0	0	0
103	97	0	0	0
99	85	0	0	0
93	94	0	0	0
85	91	0	0	0
86	104	0	0	0
103	83	0	0	0
98	94	0	0	0
98	97	0	0	0
101	97	0	0	0
92	102	0	0	0
106	98	0	0	0
98	94	0	0	0
96	91	0	0	0
99	95	0	0	0
103	102	0	0	0
92	89	0	0	0
84	101	0	0	0
92	97	0	0	0
110	112	0	0	0
98	89	0	0	0
84	86	0	0	0
96	92	0	0	0
104	90	0	0	0
95	105	0	0	0
91	98	0	0	0
102	87	0	0	0
87	101	0	0	0
104	94	0	0	0
96	103	0	0	0
84	104	0	0	0
101	93	0	0	0
109	84	0	0	0
97	97	0	0	0
80	115	0	0	0
96	82	0	0	0
111	86	0	0	0
94	91	0	0	0
96	93	0	0	0
100	98	0	0	0
89	106	0	0	0
118	91	0	0	0
87	96	0	0	0
92	98	0	0	0
100	102	0	0	0
86	107	0	0	0
101	87	0	0	0
100	103	0	0	0
90	101	0	0	0
78	91	0	0	0
110	101	0	0	0
103	93	0	0	0
87	85	0	0	0
92	92	0	0	0
102	106	0	0	0
82	95	0	0	0
102	83	0	0	0
97	106	0	0	0
106	97	0	0	0
66	89	0	0	0
94	86	0	0	0
111	96	0	0	0
93	97	0	0	0
96	100	0	0	0
108	101	0	0	0
89	91	0	0	0
98	88	0	0	0
95	90	0	0	0
99	99	0	0	0
105	87	0	0	0
89	108	0	0	0
97	99	0	0	0
87	90	0	0	0
102	92	0	0	0
92	110	0	0	0
97	79	0	0	0
106	89	0	0	0
90	101	0	0	0
84	87	0	0	0
103	94	0	0	0
100	92	0	0	0
81	93	0	0	0
94	99	0	0	4
94	104	0	0	3
93	106	0	0	6
89	80	0	0	8
